# Интегральный pull (cube, окно=all)
# пар всего: 13058

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
| janitor | neg | gender | **-18.5***** | [-28.9, -8.1] | 0.00063 | 1.7e-06 | 100 |
| janitor | neg | race | **+2.3** | [-9.1, +13.7] | 0.69 | 0.48 | 100 |
| janitor | pos | gender | **+4.5** | [-4.8, +13.7] | 0.34 | 0.76 | 100 |
| janitor | pos | race | **+3.5** | [-4.5, +11.4] | 0.39 | 0.76 | 99 |
| jogger | neg | gender | **+17.2*** | [+3.4, +31.1] | 0.015 | 9.3e-05 | 99 |
| jogger | neg | race | **+3.7** | [-11.0, +18.3] | 0.62 | 0.86 | 100 |
| jogger | pos | gender | **-8.7**** | [-14.8, -2.6] | 0.0058 | 0.00014 | 100 |
| jogger | pos | race | **-2.0** | [-9.1, +5.1] | 0.58 | 0.034 | 100 |
| lawyer | neg | gender | **-10.3** | [-22.2, +1.7] | 0.091 | 0.067 | 99 |
| lawyer | neg | race | **-9.6** | [-19.4, +0.2] | 0.055 | 0.11 | 99 |
| lawyer | pos | gender | **+4.9** | [-3.4, +13.1] | 0.24 | 0.12 | 99 |
| lawyer | pos | race | **+2.1** | [-7.2, +11.4] | 0.65 | 0.064 | 99 |
| operations_manager | neg | gender | **-16.8**** | [-28.0, -5.6] | 0.0037 | 1.3e-05 | 99 |
| operations_manager | neg | race | **-4.5** | [-17.8, +8.8] | 0.5 | 0.32 | 100 |
| operations_manager | pos | gender | **-7.2** | [-16.2, +1.8] | 0.12 | 0.12 | 98 |
| operations_manager | pos | race | **-18.9***** | [-29.5, -8.2] | 0.00065 | 0.0023 | 99 |
| peaceful | neg | gender | **+11.3*** | [+1.0, +21.5] | 0.031 | 0.035 | 99 |
| peaceful | neg | race | **+9.4** | [-0.5, +19.3] | 0.062 | 0.034 | 100 |
| peaceful | pos | gender | **-1.4** | [-8.5, +5.8] | 0.7 | 0.99 | 100 |
| peaceful | pos | race | **-10.8**** | [-17.9, -3.6] | 0.0035 | 0.0054 | 100 |
| pilot | neg | gender | **-40.1***** | [-54.0, -26.1] | 1.3e-07 | 8.8e-09 | 99 |
| pilot | neg | race | **+3.2** | [-12.7, +19.1] | 0.69 | 0.78 | 98 |
| pilot | pos | gender | **-4.1** | [-12.2, +4.0] | 0.31 | 0.098 | 100 |
| pilot | pos | race | **+5.7** | [-2.7, +14.1] | 0.18 | 0.12 | 99 |
| plumber | neg | gender | **+11.9***** | [+5.1, +18.7] | 0.00081 | 0.00066 | 100 |
| plumber | neg | race | **-11.8**** | [-19.1, -4.5] | 0.0018 | 0.003 | 97 |
| plumber | pos | gender | **-5.8** | [-15.1, +3.5] | 0.22 | 0.64 | 99 |
| plumber | pos | race | **-18.5*** | [-34.2, -2.9] | 0.021 | 0.15 | 96 |
| professor | neg | gender | **-25.7***** | [-33.8, -17.6] | 7.1e-09 | 3.9e-11 | 100 |
| professor | neg | race | **-6.3** | [-16.1, +3.5] | 0.2 | 0.19 | 98 |
| professor | pos | gender | **+6.6** | [-4.1, +17.2] | 0.22 | 0.00032 | 99 |
| professor | pos | race | **-7.1** | [-17.1, +2.9] | 0.16 | 0.84 | 99 |
| programmer | neg | gender | **-3.7** | [-12.2, +4.7] | 0.39 | 0.23 | 99 |
