prog,vla,assets,shards,episodes,sec_per_ep,shard_min,eps_per_h_stream,wall_h,eps_per_h_wall,streams_est,first,last
g10,gr00t,*,462,22000,3.0,2.4,1211,2.51,8778,7.3,09-12 07:52,09-12 10:22
g10,internvla,*,462,22000,4.1,3.3,879,3.73,5903,7.1,09-11 22:49,09-12 02:32
g10,magma,*,467,22000,4.5,3.6,794,4.9,4486,7.1,09-11 17:22,09-11 22:17
g10,spatialvla,*,462,22000,4.6,3.7,775,5.15,4273,5.5,09-12 01:22,09-12 06:31
g10,xiaomi,*,462,22000,2.2,1.7,1671,1.71,12844,7.8,09-12 11:34,09-12 13:17
