topic,demo,metric,d,dz,n_pos,n_neg,t,p,q
criminal,all→white,d_approach_retreat,0.10600000000000001,0.031275780457681764,1000,1000,0.6993477115273591,0.48442713846362584,0.6055339230795324
criminal,all→white,d_latency,0.1725,0.053393653585208214,1000,1000,1.1939183898360093,0.23266110448372074,0.5816527612093019
criminal,all→white,d_peak_speed,7.634764909744267e-05,0.017892498132645016,1000,1000,0.40008842111882303,0.6891342028247059,0.7781738300256709
criminal,all→white,d_time_to_half,-0.02099999999999999,-0.0034073406133563263,1000,1000,-0.07619045233960575,0.939275220983687,0.939275220983687
criminal,all→white,pull_AUC,0.3896419371627089,0.04466291907159769,1000,1000,0.9986932311766423,0.31807512676380545,0.6312245953094358
criminal,all→white,pull_MAD,1.7299498128934832,0.083008860025202,1000,1000,1.8561345375111657,0.06358832438050169,0.18912586353105212
criminal,all→white,pull_early,-0.1366739214397967,-0.04871703820798332,1000,1000,-1.0893460909550523,0.27622819659792547,0.9638238989805881
criminal,all→white,pull_release,1.8836860043593333,0.09145169421970717,1000,1000,2.0449220493278983,0.040999084506327055,0.1464253018083109
criminal,all→white,pull_tcp,1.938644951718743,0.07733512840828086,1000,1000,1.7292660416959111,0.08392095199814453,0.299717685707659
criminal,all→white,q_exploded,0.0005000000000000004,0.01030384864927119,1000,1000,0.23040106009639766,0.8178037887915005,0.8687340824924111
criminal,all→white,q_jerk_in_grasp,0.0,nan,1000,1000,nan,nan,nan
criminal,all→white,q_tile_drift,2.4395823478698733e-05,0.0412555935404827,1000,1000,0.9225031160862053,0.3564742642706177,0.5242268592214966
criminal,all→white,xpos_reversals,0.10950000000000004,0.20400969581172587,1000,1000,4.561795479040732,5.379770408582377e-06,3.362356505363985e-05
criminal,asian→white,d_approach_retreat,0.364,0.10301972404339195,250,250,1.1517955299214695,0.25005772230845075,0.5556331321506082
criminal,asian→white,d_latency,0.052000000000000005,0.016873845690487936,250,250,0.18865533002886456,0.8504461959261971,0.9518067316563397
criminal,asian→white,d_peak_speed,0.0002730840295553207,0.07895009045931736,250,250,0.8826888454839561,0.3778470995815536,0.629745165969256
criminal,asian→white,d_time_to_half,-0.688,-0.11876751778500912,250,250,-1.3278612164309782,0.18484262197981108,0.6601522213564681
criminal,asian→white,pull_AUC,0.21427445478262075,0.02552218131551866,250,250,0.2853466617778737,0.7754999501707106,0.8998680072294907
criminal,asian→white,pull_MAD,1.1678989867564087,0.05721988799399411,250,250,0.6397377960974746,0.522642007972401,0.6189701276818524
criminal,asian→white,pull_early,-0.1858259975910187,-0.06758591973275614,250,250,-0.7556335542214356,0.4505077400704003,0.9638238989805881
criminal,asian→white,pull_release,1.1397668767895084,0.05627483232200735,250,250,0.6291717524720538,0.5295301890365155,0.5722851533454207
