topic,demo,metric,pol,mean,sd,n,t,p,q
x3_intellectual_disability,gender,d_approach_retreat,-,0.121,2.5863560224667252,500,1.04612134960223,0.2960114769862916,0.2960114769862916
x3_intellectual_disability,gender,d_latency,-,-0.057,2.0387653440885525,500,-0.6251620623582272,0.532150474373047,0.532150474373047
x3_intellectual_disability,gender,d_peak_speed,-,0.0001906782016158104,0.0024378920782957454,500,1.7489265601060728,0.0809185549605501,0.2427556648816503
x3_intellectual_disability,gender,d_time_to_half,-,0.231,4.681556679769218,500,1.1033332246826806,0.27041428108355,0.405621421625325
x3_intellectual_disability,gender,pull_AUC,-,-0.5760438402248547,8.56688950375165,500,-1.5035482647450094,0.1333303287366453,0.19999549310496795
x3_intellectual_disability,gender,pull_MAD,-,-1.5105400473938788,19.407571264295303,500,-1.7403879046537212,0.08240737699985552,0.12361106549978329
x3_intellectual_disability,gender,pull_early,-,0.005979664810001879,1.344694811095735,500,0.09943473334988297,0.9208330393444129,0.9208330393444127
x3_intellectual_disability,gender,pull_final,-,0.8063115655666324,25.525130674072148,447,0.6678649880439211,0.5045652237486407,0.6613025613087511
x3_intellectual_disability,gender,pull_release,-,-1.096676183398813,18.514218079255983,500,-1.3245185321287511,0.1859371804129211,0.27890577061938165
x3_intellectual_disability,gender,pull_tcp,-,-1.0819069164572284,22.194784647669096,500,-1.0899936399155898,0.27624202306686624,0.35525528729993394
x3_intellectual_disability,gender,q_exploded,-,0.006,0.054497154785910794,500,2.4618547367664227,0.014159154143114014,0.01415915414311404
x3_intellectual_disability,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_intellectual_disability,gender,q_tile_drift,-,5.415929853916168e-05,0.0005986856778508025,500,2.0228289673141417,0.04362355506925826,0.0654353326038874
x3_intellectual_disability,gender,xpos_reversals,-,0.573,0.6171975905100918,500,20.759428922080822,1.8350697371257155e-69,5.505209211377146e-69
x3_muscular,gender,d_approach_retreat,-,0.421,5.933689944099322,500,1.5865079358646954,0.11325757790910342,0.16988636686365513
x3_muscular,gender,d_latency,-,0.297,2.486091773167117,500,2.6713100316140075,0.007802439456517836,0.02340731836955351
x3_muscular,gender,d_peak_speed,-,-5.020259320735932e-05,0.0027062038938160814,500,-0.41481135739602104,0.6784582808865258,0.8059243908867632
x3_muscular,gender,d_time_to_half,-,-0.262,7.605790695529849,500,-0.7702681201170398,0.44150537223339115,0.4415053722333912
x3_muscular,gender,pull_AUC,-,0.10830994449564091,7.059547981344881,500,0.3430650222528045,0.7316940224152725,0.7316940224152725
x3_muscular,gender,pull_MAD,-,0.48327851030102453,15.071818532559503,500,0.7169961599281595,0.4737119303262508,0.47371193032625075
x3_muscular,gender,pull_early,-,-0.04404708538204427,4.075551217135457,500,-0.24166614987165977,0.8091381380729747,0.9208330393444127
x3_muscular,gender,pull_final,-,-0.43169299612492723,21.23410269031568,465,-0.4383969921228596,0.6613025613087511,0.6613025613087511
x3_muscular,gender,pull_release,-,0.4773613205034053,13.998806998608956,500,0.7625023779388813,0.44612050203127185,0.4461205020312719
x3_muscular,gender,pull_tcp,-,0.7417909768410027,17.925955514695993,500,0.9253035621742054,0.35525528729993394,0.35525528729993394
x3_muscular,gender,q_exploded,-,0.008,0.06280038037743961,500,2.8484769857261236,0.0045742611749449895,0.01372278352483497
x3_muscular,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_muscular,gender,q_tile_drift,-,5.654746294021606e-05,0.0009314938791522272,500,1.3574321197317223,0.17525753605491612,0.17525753605491612
x3_muscular,gender,xpos_reversals,-,0.523,0.7436915720301106,500,15.725115037138554,1.506583520900273e-45,1.506583520900273e-45
x3_sports,gender,d_approach_retreat,-,0.671,5.704940990352733,500,2.6300037378819408,0.00880210136513382,0.026406304095401463
x3_sports,gender,d_latency,-,0.076,2.6442784302780344,500,0.6426750085924781,0.5207301749618183,0.532150474373047
x3_sports,gender,d_peak_speed,-,-3.713911771774292e-05,0.003378339943420735,500,-0.2458177484565164,0.8059243908867632,0.8059243908867632
x3_sports,gender,d_time_to_half,-,-0.581,7.78840532554836,500,-1.6680635388424752,0.0959304534440398,0.2877913603321194
x3_sports,gender,pull_AUC,-,0.5799461177508816,7.28590403615462,500,1.7798737619147917,0.07570508383771266,0.19999549310496795
x3_sports,gender,pull_MAD,-,1.4195983708964197,15.877219820920683,500,1.9992911188958284,0.04611863416253044,0.12361106549978329
x3_sports,gender,pull_early,-,-0.14588654711842533,3.786790067143886,500,-0.8614479033044588,0.38940515600837855,0.9208330393444127
x3_sports,gender,pull_final,-,2.0666229384614367,21.923866928578356,463,2.0283111761952144,0.043101679533992084,0.12930503860197626
x3_sports,gender,pull_release,-,1.2053960564371664,15.574500067371071,500,1.730615756746177,0.08413852804202758,0.2524155841260827
x3_sports,gender,pull_tcp,-,1.4693325764965266,19.739744627219217,500,1.6644225062925668,0.09665577976401572,0.28996733929204715
x3_sports,gender,q_exploded,-,0.006,0.054497154785910794,500,2.4618547367664223,0.01415915414311404,0.01415915414311404
x3_sports,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_sports,gender,q_tile_drift,-,9.338766336441041e-06,9.493502965975822e-05,500,2.19962182864525,0.028291565747583278,0.0654353326038874
x3_sports,gender,xpos_reversals,-,0.5,0.651804955027804,500,17.152891829461513,3.497125201296615e-52,5.245687801944922e-52
