topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
education,gender,choice_chosen_side_soft,pos,-9.999999999999998,40.0,40.0,5,5,5.0,5.0,1.0,1.0
janitor,gender,choice_chosen_side_soft,pos,0.0,-50.0,50.0,7,3,7.000000000000001,3.0,1.0,1.0
pilot,gender,choice_chosen_side_soft,pos,-9.999999999999998,-40.0,40.0,5,5,5.0,5.0,1.0,1.0
pilot,gender,choice_chosen_side_soft,neg,0.9740259740259716,-41.883116883116884,50.97402597402597,11,14,11.0,14.000000000000002,1.0,1.0
wealthy,gender,choice_chosen_side,pos,0.0,-50.0,50.0,5,6,5.0,6.0,1.0,1.0
wealthy,gender,choice_chosen_side_soft,pos,-3.8461538461538436,-46.15384615384615,46.15384615384615,15,13,15.0,13.0,0.46428571428571414,1.0
wealthy,gender,choice_chosen_side_soft,neg,-21.875,-15.625,28.125,8,16,8.0,16.0,0.079075857511717,0.474455145070302
wealthy,gender,choice_first_touch_side,pos,0.0,-50.0,50.0,11,9,11.0,9.0,1.0,1.0
wealthy,gender,choice_first_touch_side,neg,-3.3333333333333326,-13.333333333333334,46.666666666666664,6,5,6.0,5.0,1.0,1.0
